Lat,Lon,Text
60.82548848,11.00416876,"@JanAageFjortoft Hei. Hvem mener du #ArsenaI burde gått for i januar? #Transfers"
4.27894683,117.89085215,"44 kg ? O.O amazing . I bet I'll lose 3 kg in 3 to 4 days without doing anything . Hahahahahaha. I hate myself"
35.705708,139.741661,"ツイット略してザーメンって言うのは蒼空用大型店舗の近さだけで高校男子がモテる男の人ってそんなに親はアホなのって"
35.86610819,139.62801277,"娘のお迎え〜 (@ アテナアクアメイツ) http://t.co/TwAURHpO"
37.35727512,-121.83830615,"I need a massage. Oh daaaaaad."
-29.08308791,26.20078977,"@therealpsyfo how do we get our stuff out to Sid.?? Via E-mail Yeah?"
34.98738387,136.60152849,"I'm at 天然温泉 ユラックス (四日市市, 三重県) http://t.co/QJgCqvtx"
27.3214448,-98.6740364,"Bought some Nike sweats but left them in #oomf car 😔"
27.45258,-82.46353,""@SeekingAlpha: JPMorgan Chase: World's Best Universal Bank http://t.co/cwr67spe $JPM""
51.48231237,-3.17336603,"Time for breakfast, then home to #Cornwall to help prepare @Thecybb for their Easter Course with @plcmusic"
44.95324612,-93.32780038,"I love snuggling"
40.98303831,28.84838254,"@KIRAT57 :))) babam ayakta odadan çıkamıyorum korkudan;)"
41.7278605,-81.2645289,"Loll."
39.73018325,-90.26946013,"@hmh_622 I accidentally picked French for this one -_____-"
29.56455206,-95.39824245,"Iiiigggglllooooo.. Igloo"
57.15442311,24.85321948,"Рига,обойти бы тебя стороной"
41.02340571,29.02457891,"Günaydın :)"
37.39279555,-5.9643767,"@Pepelias17 pues jodete mamarracho. Y ya sabes q de vez en cuando te quitamos el bozal y te dejamos ladrar en SFCTV."
39.7931272,-86.2194299,"@ImNachoHomie I want a s'o :/"
40.85557661,-111.93305813,"You're a classic (;"
20.6660474,-87.0679967,":s mareado muy mareado :s"
37.66986546,-88.95006127,"I'm $assy $pice ✌"
19.5336506,-96.9134488,"Con saber que estas muy bien me vuelvo a retirar :)"
36.7680146,137.0430544,"@up111838 
ありますよ！！
たしか...？？"
38.72641792,26.98134004,"Bu ne hava mk."
32.74051169,-114.72217281,"I wonder if I'm gonna move again ."
34.83301753,-97.61113279,"@RyanCastro ... 8"
40.6402471,-3.1483741,"Las peques emocionadas vienen corriendo despertando a toda la casa... Que ya han llegado los reyes!!!! Verlas tan contentas no tiene precio"
35.7294281,139.6550697,"志帆は今日から社員旅行で沖縄行っちゃったから僕ちんお留守番さ！腹減った(´Д｀)角煮食いたい。"
36.31903343,-87.67394923,"@JacobWrennBush hard peckers and kites man. How's your side of the pond?"
37.77103424,-121.2031002,"@Nick_Brooks07 smh not you ."
6.40257,100.13419,"Takut org tuu rindu nk balik kuantan jew. Sebap tuu tye :p"
36.1424915,-5.4685434,"siento en mis pies el fondo del agujero no es tan profundo puedo salir sólo preparándome para saltar afuera..."
35.4425925,139.643709,"旨い http://t.co/aZtF4DyX"
43.57853188,-79.73048125,"@momo_alam lmao"
50.8377662,-1.05415766,"@tomharding87 or blame, even..."
5.39601302,100.28606772,"Ada melayu kat sini? Memang takda. Rasa macam kat china je ni. (@ Sunshine Farlim Shopping Mall) [pic]: http://t.co/Cfl2uVxb"
25.77435,-80.190706,"YoungArts winners descend on Miami with big dreams and big talent: This week, 152 brilliant talents descend on M... http://t.co/PtSV34Tj"
43.3410951,-1.8086484,"@Nahii22 jajajjajaja ya los e abiertoooooo :P"
40.22736851,28.9797646,"I'm at Fink (Bursa, Türkiye) http://t.co/5czPnHst"
35.76605663,139.77497702,"@Fukuinao0210 嫌いじゃない！"
34.04706542,-118.18763017,"Act like a man stop thinking like a bitch"
6.11786054,100.37880368,"Tutup plak dah (@ Mee Derga Hj Abdul Mutalif) http://t.co/XLgMacji"
1.30626626,103.90547158,"Omw to TM"
40.61198019,-80.28461332,"Awww thanks 😊“@ohshooter: @Love_Scooter cute ppl turn me on”"
